#,,Whisky,Stated Age,Strength,Size,Rating,Votes,
174,,Glen Moray 1959 RWD,25,46.0 % Vol.,750 ml,93.94,38,
175,,Glen Grant 1955 GM?Celtic Series - Book of Kells,59,60.8 % Vol.,700 ml,93.94,22,
176,,Balvenie 1952 - Cask 191,50,45.1 % Vol.,700 ml,93.94,20,
177,,Glendronach 1968?Single Cask - Batch 13,47,45.9 % Vol.,700 ml,93.93,56,
178,,Bowmore 1964 Black?2nd Edition,30,50.0 % Vol.,700 ml,93.93,109,
179,,Springbank 1970?Local Barley,23,46.0 % Vol.,700 ml,93.93,30,
180,,Springbank 1966?Local Barley,32,55.1 % Vol.,700 ml,93.93,17,
181,,Macallan 1971?The Anniversary Malt,25,43.0 % Vol.,700 ml,93.93,29,
182,,Bowmore Bicentenary?Bicentenary 1779 - 1979,,43.0 % Vol.,750 ml,93.93,16,
183,,Springbank 1966?Local Barley,32,54.6 % Vol.,700 ml,93.92,16,
184,,Bowmore 1964 Oloroso?The Trilogy Series,38,42.9 % Vol.,700 ml,93.92,27,
185,,Glenfarclas 1956 Sherry Casks?Family Collector Series II,,47.5 % Vol.,700 ml,93.91,26,
186,,Glenfarclas 1960?The Family Casks,,52.4 % Vol.,700 ml,93.91,60,
187,,Glendronach 1972?Single Cask,39,48.6 % Vol.,700 ml,93.9,24,
188,,Glendronach 1972?Single Cask,38,51.0 % Vol.,700 ml,93.9,22,
189,,Bowmore 1973?Limited Release,43,43.2 % Vol.,700 ml,93.89,43,
190,,Springbank 1970?Local Barley,23,46.0 % Vol.,700 ml,93.89,21,
191,,Ledaig 1972?D?sgadh,42,46.7 % Vol.,700 ml,93.89,67,
192,,Talisker 1956 GM?Original Cask - Natural High Strength,,54.4 % Vol.,750 ml,93.89,50,
193,,Bowmore 1966 DT?Rare Auld,41,44.5 % Vol.,700 ml,93.89,21,
194,,Ardbeg 1972 DL The Ardbeggeddon?Old Malt Cask,29,48.4 % Vol.,750 ml,93.89,64,
195,,Brora 1972 DL Brorageddon?Old Malt Cask,30,50.8 % Vol.,750 ml,93.89,58,
196,,Ardbeg 1974 Kb?Celtic Series,26,50.0 % Vol.,700 ml,93.88,63,
197,,Caol Ila 1968 It,21,58.5 % Vol.,750 ml,93.86,24,
198,,Longrow 1974 Sa,,56.0 % Vol.,750 ml,93.86,46,
199,,Mortlach 1936 GM?Celtic Series - Book of Kells,50,40.0 % Vol.,750 ml,93.86,45,
200,,Springbank 1966?Local Barley,31,54.0 % Vol.,700 ml,93.85,22,
201,,Bowmore Bicentenary?Fecchio & Frassa Import.,,43.0 % Vol.,750 ml,93.85,43,
202,,Longmorn 1964 GM?Celtic Series - Book of Kells,46,51.3 % Vol.,700 ml,93.85,43,
203,,Bowmore 1968 DT?Peerless,40,42.3 % Vol.,700 ml,93.84,46,
204,,Ardbeg 1974,,54.5 % Vol.,700 ml,93.84,33,
205,,Caol Ila 1974 JM?The London Scottish Malt Whisky Society,12,63.0 % Vol.,750 ml,93.84,42,
206,,Springbank 100¡Æ Proof?Green Thistle,12,50.0 % Vol.,700 ml,93.84,156,
207,,Springbank 1967,28,46.0 % Vol.,700 ml,93.83,25,
208,,Ord 1962 RWD?Highland Single Malt,26,56.2 % Vol.,750 ml,93.83,16,
209,,Longrow 1973 Sa,16,48.0 % Vol.,750 ml,93.83,34,
210,,Ardbeg 1975,,46.2 % Vol.,700 ml,93.82,30,
211,,Laphroaig 1980,27,57.4 % Vol.,700 ml,93.82,135,
212,,Macallan 1965 MMcK?C?rn M?r Celebration of the Cask,43,54.1 % Vol.,700 ml,93.81,19,
213,,Glendronach 1972?Single Cask,40,50.2 % Vol.,700 ml,93.81,85,
214,,Glendronach 1971?Single Cask - Batch 11,43,48.6 % Vol.,700 ml,93.81,62,
215,,Springbank 1967 SV?Prestonfield,20,46.0 % Vol.,50 ml,93.81,20,
216,,Glendronach 1972?Single Cask - Batch 1,37,54.8 % Vol.,700 ml,93.81,146,
217,,Brora 1972 DL?Platinum Selection,29,59.5 % Vol.,700 ml,93.81,70,
218,,Springbank 1966?Local Barley,31,52.0 % Vol.,700 ml,93.8,25,
219,,Ardbeg 1972 GM?Connoisseurs Choice,14,40.0 % Vol.,750 ml,93.8,18,
220,,Macallan 1964?Fine & Rare,37,58.2 % Vol.,700 ml,93.8,17,
221,,Balvenie 1974 RWD,,56.0 % Vol.,750 ml,93.79,19,
222,,Glendronach 1971?Single Cask - Batch 4,40,48.5 % Vol.,700 ml,93.79,96,
223,,Glendronach 1972?Single Cask - Batch 5,39,54.4 % Vol.,700 ml,93.79,112,
224,,Macallan 1940 GM?Macallan-Glenlivet - A Pure Highland Malt,35,43.0 % Vol.,750 ml,93.79,17,
225,,Glendronach 1971?Single Cask - Batch 6,41,47.9 % Vol.,700 ml,93.79,112,
226,,Bowmore 1966 DT?Peerless,36,43.2 % Vol.,700 ml,93.78,24,
227,,Mortlach 1954 GM?Rare Old,58,43.0 % Vol.,700 ml,93.78,63,
228,,Springbank 1967?Local Barley - West Highland,20,46.0 % Vol.,750 ml,93.78,38,
229,,Springbank 1969,26,51.7 % Vol.,700 ml,93.78,33,
230,,Glendronach 1972?Single Cask - Batch 2,38,51.5 % Vol.,700 ml,93.76,111,
231,,Bowmore Bicentenary?Soffiantino import,,43.0 % Vol.,750 ml,93.76,68,
232,,Glenfarclas 1973?Duty Paid Sample,,52.0 % Vol.,500 ml,93.76,20,
233,,Springbank 1966?Local Barley,30,52.5 % Vol.,700 ml,93.76,19,
234,,Highland Park 1967 DT?John Scott's,37,50.6 % Vol.,700 ml,93.76,39,
235,,MacPhail's 1937 GM?Celtic Series - Book of Kells,50,40.0 % Vol.,750 ml,93.75,38,
236,,Ardbeg 1973,31,49.5 % Vol.,700 ml,93.75,39,
237,,Glendronach 1972?Single Cask,39,53.0 % Vol.,700 ml,93.75,28,
238,,Glendronach 1971?Single Cask,40,47.5 % Vol.,700 ml,93.75,22,
239,,Bowmore 1970 SV?Cask Strength Collection - Rare Reserve,40,43.2 % Vol.,700 ml,93.74,48,
240,,Glenglassaugh 1972?for Andrea Caminneci,38,59.1 % Vol.,700 ml,93.74,205,
241,,Talisker 1955 GM?Cask Strength,,53.6 % Vol.,700 ml,93.74,68,
242,,Ardbeg 1974,,52.3 % Vol.,700 ml,93.74,30,
243,,Ardbeg 1967 SV?Vintage Collection - Dumpy,28,53.7 % Vol.,700 ml,93.74,75,
244,,Glenfarclas 1954?The Family Casks (Release A13),,46.3 % Vol.,700 ml,93.72,28,
245,,Macallan 1972 GM?Speymalt,42,43.0 % Vol.,700 ml,93.71,19,
246,,Mortlach 1936 GM?Licensed Bottling,,40.0 % Vol.,750 ml,93.71,19,
247,,Macallan 1938 GM?Speymalt,,41.4 % Vol.,700 ml,93.71,19,
248,,Ardbeg 1974,,51.7 % Vol.,700 ml,93.71,33,
249,,Glen Garioch 1975 Sa?Handwritten label,13,57.0 % Vol.,750 ml,93.71,65,
250,,Bowmore 12-year-old?Bicentenary 1779 - 1979,12,43.0 % Vol.,750 ml,93.7,26,
251,,Ardbeg 1972 Kb?Handwritten Label,28,49.2 % Vol.,700 ml,93.7,25,
252,,Macallan 1969 DT?Peerless,41,40.1 % Vol.,700 ml,93.69,25,
253,,Bowmore 1968?Anniversary Edition,32,45.5 % Vol.,700 ml,93.69,158,
254,,Bowmore 1966 DT?Peerless,38,42.8 % Vol.,700 ml,93.68,36,
255,,Glenrothes 1969 DT?Men O'Quaich Collection,42,44.7 % Vol.,700 ml,93.68,27,
256,,Balvenie 1962?Fifty,50,44.1 % Vol.,700 ml,93.68,21,
257,,Bowmore Bicentenary?Bicentenary 1779 - 1979,,43.0 % Vol.,750 ml,93.68,116,
258,,Laphroaig 1966 It,18,54.0 % Vol.,750 ml,93.68,24,
259,,Bowmore 1964 MI?The Birds - first collection,,46.0 % Vol.,750 ml,93.68,30,
